<DOCUMENT 1> 
1 Between_IN
2 us_PRP
3 there_EX
4 was_VBD
5 ,_,
6 as_IN
7 I_PRP
8 have_VB
9 already_RB
10 said_VBD
11 somewhere_RB
12 ,_,
13 the_DT
14 bond_NN
15 of_IN
16 the_DT
17 sea_NN
18 ._.
19 Besides_IN
20 holding_VBG
21 our_PRP$
22 hearts_NNS
23 together_RB
24 through_IN
25 long_RB
26 periods_NNS
27 of_IN
28 separation_NN
29 ,_,
30 it_PRP
31 had_VBN
32 the_DT
33 effect_NN
34 of_IN
35 making_VBG
36 us_PRP
37 tolerant_NN
38 of_IN
39 each_DT
40 other_JJ
41 's_POS
42 yarns--and_NN
43 even_RB
44 convictions_NNS
45 ._.
46 The_DT
47 Lawyer--the_.
48 best_JJS
49 of_IN
50 old_JJ
51 fellows--had_NN
52 ,_,
53 because_IN
54 of_IN
55 his_PRP$
56 many_JJ
57 years_NNS
58 and_CC
59 many_JJ
60 virtues_NNS
61 ,_,
62 the_DT
63 only_RB
64 cushion_NN
65 on_IN
66 deck_NN
67 ,_,
68 and_CC
69 was_VBD
70 lying_VBG
71 on_IN
72 the_DT
73 only_RB
74 rug._.
75 The_DT
76 Accountant_NNP
77 had_VBN
78 brought_VBN
79 out_IN
80 already_RB
81 a_DT
82 box_NN
83 of_IN
84 dominoes_VBG
85 ,_,
86 and_CC
87 was_VBD
88 toying_VBG
89 architecturally_RB
90 with_IN
91 the_DT
92 bones_NNS
93 ._.
94 Marlow_NNP
95 sat_VBN
96 cross-legged_JJ
97 right_NN
98 aft_NN
99 ,_,
100 leaning_VBG
101 against_IN
102 the_DT
103 mizzen-mast_NN
104 ._.
105 He_PRP
106 had_VBN
107 sunken_VBN
108 cheeks_NNS
109 ,_,
110 a_DT
111 yellow_NN
112 complexion_NN
113 ,_,
114 a_DT
115 straight_RB
116 back_RB
117 ,_,
118 an_DT
119 ascetic_NN
120 aspect_NN
121 ,_,
122 and_CC
123 ,_,
124 with_IN
125 his_PRP$
126 arms_NNS
127 dropped_VBN
128 ,_,
129 the_DT
130 palms_NNS
131 of_IN
132 hands_NNS
133 outwards_NNS
134 ,_,
135 resembled_VBD
136 an_DT
137 idol_NN
138 ._.
139 The_DT
140 director_NN
141 ,_,
142 satisfied_VBN
143 the_DT
144 anchor_NN
145 had_VBN
146 good_JJ
147 hold_NN
148 ,_,
149 made_VBN
150 his_PRP$
151 way_NN
152 aft_NN
153 and_CC
154 sat_VBN
155 down_IN
156 amongst_NN
157 us_PRP
158 ._.
159 We_PRP
160 exchanged_VBN
161 a_DT
162 few_JJ
163 words_NNS
164 lazily_RB
165 ._.
166 Afterwards_RB
167 there_EX
168 was_VBD
169 silence_NN
170 on_IN
171 board_NN
172 the_DT
173 yacht_NN
174 ._.
175 For_IN
176 some_DT
177 reason_NN
178 or_CC
179 other_JJ
180 we_PRP
181 did_VBD
182 not_RB
183 begin_VB
184 that_WDT
185 game_NN
186 of_IN
