line number	unstemmed tokens	stemmed tokens	proportion of tokens remaining	number of lines containing matching tokens	
1	22	20	0.9090909090909091	0	
2	25	25	1.0	0	
3	28	28	1.0	0	
4	29	29	1.0	0	
5	18	18	1.0	0	
6	20	20	1.0	0	
7	20	20	1.0	0	
8	24	22	0.9166666666666666	0	
9	21	21	1.0	0	
10	28	26	0.9285714285714286	0	
11	17	17	1.0	0	
12	25	25	1.0	0	
13	20	17	0.85	0	
14	18	18	1.0	0	
15	17	17	1.0	0	
16	26	24	0.9230769230769231	0	
17	15	11	0.7333333333333333	0	
18	22	20	0.9090909090909091	0	
19	20	19	0.95	0	
20	17	17	1.0	0	
21	22	22	1.0	0	
22	25	25	1.0	0	
23	15	15	1.0	0	
24	13	13	1.0	0	
25	19	19	1.0	0	
26	19	19	1.0	0	
27	20	20	1.0	0	
28	14	14	1.0	0	
29	15	15	1.0	0	
30	16	16	1.0	0	
31	25	25	1.0	0	
32	16	16	1.0	0	
33	22	22	1.0	0	
34	14	14	1.0	0	
35	18	18	1.0	0	
36	21	20	0.9523809523809523	0	
37	18	18	1.0	0	
38	15	15	1.0	0	
39	16	16	1.0	0	
40	12	12	1.0	0	
41	10	10	1.0	0	
42	16	16	1.0	0	
43	15	14	0.9333333333333333	0	
44	10	10	1.0	0	
45	9	9	1.0	0	
46	12	12	1.0	0	
47	10	10	1.0	0	
48	21	21	1.0	0	
49	17	15	0.8823529411764706	0	
50	11	11	1.0	0	
51	14	14	1.0	0	
52	11	11	1.0	0	
53	14	14	1.0	0	
54	20	20	1.0	0	
55	17	17	1.0	0	
56	11	11	1.0	0	
57	14	13	0.9285714285714286	0	
58	11	11	1.0	0	
59	17	17	1.0	0	
60	7	7	1.0	0	
61	17	17	1.0	0	
62	14	14	1.0	0	
63	17	17	1.0	0	
64	15	15	1.0	0	
65	10	10	1.0	0	
66	13	13	1.0	0	
67	15	14	0.9333333333333333	0	
68	10	10	1.0	0	
69	11	11	1.0	0	
70	13	13	1.0	0	
71	6	6	1.0	0	
72	7	7	1.0	0	
73	11	11	1.0	0	
74	8	8	1.0	0	
75	10	10	1.0	0	
76	14	14	1.0	0	
77	12	12	1.0	0	
78	17	17	1.0	0	
79	14	14	1.0	0	
80	18	18	1.0	0	
81	8	8	1.0	0	
82	15	15	1.0	0	
83	12	12	1.0	0	
84	11	11	1.0	0	
85	15	15	1.0	0	
86	10	9	0.9	0	
87	16	16	1.0	0	
88	8	8	1.0	0	
89	10	10	1.0	0	
90	8	8	1.0	0	
91	10	10	1.0	0	
92	16	13	0.8125	0	
93	13	11	0.8461538461538461	0	
94	7	7	1.0	0	
95	10	10	1.0	0	
96	11	11	1.0	0	
97	8	8	1.0	0	
98	8	8	1.0	0	
99	10	10	1.0	0	
100	8	8	1.0	0	
